CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
4007000100,Arizona,Gila,1608,865,743,4.9,93.3,0,1.1,0.7,0,1543,52336,19663,32179,5105,7.8,0,32.3,12.2,45.7,0,9.8,87,1.8,0,5.9,0,5.3,21.6,508,77.6,18.5,3.9,0,22.6
4007000200,Arizona,Gila,2112,1051,1061,7.9,91.8,0,0,0,0,1610,42727,9881,27730,7654,18.4,32.8,32.1,22.7,26.5,13,5.7,72.6,3.5,0,3.2,3.6,17.1,24.8,714,74.1,19.3,6.6,0,11
4007000301,Arizona,Gila,6228,2719,3509,11.7,85,0.1,2.3,0,0,5117,44781,6047,22317,2457,17.5,26.5,37.6,23,21.5,9.3,8.6,84.7,6.8,0,0,0,8.5,26.1,1887,67.9,26.7,5.5,0,9.1
4007000302,Arizona,Gila,2746,1298,1448,6.1,91.7,0,0.5,0,0,2311,40931,2759,22150,2422,14.9,15.9,24.7,25.3,32.9,13.8,3.4,88.1,4.2,0,0,4.1,3.5,17.3,1148,76.8,17,6.2,0,4.7
4007000400,Arizona,Gila,3922,1905,2017,10.8,84.4,1.5,0.5,1.2,0,3302,45283,4492,30122,3884,9.7,0,42.1,20.2,11.5,18.8,7.5,80.2,7.9,0,0.9,0.8,10.1,34.2,1593,81.2,14.4,4.4,0,5
4007000500,Arizona,Gila,5464,2888,2576,3.1,92.1,0.1,3.1,0,0,4570,32400,9547,19943,2364,9.4,8.2,24.9,29.3,21.7,19.1,5,77.4,18.1,0,1.1,0,3.4,22.6,1650,78.8,13.2,7.9,0,12
4007000600,Arizona,Gila,1443,618,825,13.3,85.7,0,0.2,0,0.8,1181,39375,7396,21072,4064,29.8,65.7,29.6,14.9,28.2,25.9,1.4,73.5,8.2,1.1,0,0,17.2,33.7,355,76.3,21.4,1.1,1.1,8.3
4007000700,Arizona,Gila,1590,887,703,0.1,99.8,0.1,0,0,0,1422,29345,7745,25945,6730,25.8,54.2,0.5,32,45.4,4.8,17.4,86.3,7.8,0,0.7,0,5.3,33.3,438,72.6,18,9.4,0,4.2
4007000800,Arizona,Gila,1686,908,778,40.3,58.8,0,0.4,0.2,0,1232,36639,4611,22735,8041,21.5,26.7,15.2,26.1,21.8,23.2,13.7,57.9,10,0.8,15.2,8.3,7.7,18.7,505,89.5,6.9,3.6,0,16
4007000900,Arizona,Gila,3076,1530,1546,42.9,56,0,0.2,0.9,0,2222,34444,8099,17199,2463,25.4,40.5,21.3,28.8,16,17.2,16.8,85.1,8.5,0.9,0.3,2.9,2.3,13.9,1137,77.4,16.1,6.2,0.3,13.4
