zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
30002,STANDARD,0,Avondale Estates,Avondale Est,,GA,DeKalb County,America/New_York,"404,678",NA,US,33.77,-84.26,Atlanta,5640
30003,PO BOX,0,Norcross,,Rockbridge,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-84.2,Atlanta,551
30004,STANDARD,0,Alpharetta,Milton,,GA,Fulton County,America/New_York,678,NA,US,34.14,-84.29,Atlanta,64590
30005,STANDARD,0,Alpharetta,Johns Creek,,GA,Fulton County,America/New_York,678,NA,US,34.09,-84.22,Atlanta,36680
30006,PO BOX,0,Marietta,,,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,1112
30007,PO BOX,0,Marietta,,,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,259
30008,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"470,678,770",NA,US,33.9,-84.59,Atlanta,25700
30009,STANDARD,0,Alpharetta,Milton,,GA,Fulton County,America/New_York,678,NA,US,34.08,-84.31,Atlanta,18080
30010,PO BOX,0,Norcross,"Peachtree Cor, Peachtree Corners",,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-84.2,Atlanta,784
30012,STANDARD,0,Conyers,,,GA,Rockdale County,America/New_York,"470,678,770",NA,US,33.66,-84.01,Atlanta,23960
30013,STANDARD,0,Conyers,,,GA,Rockdale County,America/New_York,"470,678,770",NA,US,33.65,-83.97,Atlanta,25020
30017,STANDARD,0,Grayson,,,GA,Gwinnett County,America/New_York,678,NA,US,33.89,-83.95,Atlanta,23440
30019,STANDARD,0,Dacula,,,GA,Gwinnett County,America/New_York,678,NA,US,33.98,-83.88,Atlanta,47410
30021,STANDARD,0,Clarkston,,,GA,DeKalb County,America/New_York,"404,678",NA,US,33.81,-84.24,Atlanta,21900
30022,STANDARD,0,Alpharetta,Johns Creek,,GA,Fulton County,America/New_York,678,NA,US,34.06,-84.27,Atlanta,62820
30023,PO BOX,0,Alpharetta,,,GA,Fulton County,America/New_York,678,NA,US,34.06,-84.27,Atlanta,643
30024,STANDARD,0,Suwanee,Johns Creek,,GA,Gwinnett County,America/New_York,"470,678",NA,US,34.05,-84.07,Atlanta,81610
30026,PO BOX,0,North Metro,Duluth,,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,15
30029,PO BOX,0,North Metro,Duluth,,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,0
30030,STANDARD,0,Decatur,,,GA,DeKalb County,America/New_York,404,NA,US,33.77,-84.29,Atlanta,27450
30031,PO BOX,0,Decatur,,,GA,Dekalb County,America/New_York,404,NA,US,33.77,-84.29,Atlanta,1305
30032,STANDARD,0,Decatur,,"Belvedere, Dunaire",GA,DeKalb County,America/New_York,404,NA,US,33.74,-84.26,Atlanta,34620
30033,STANDARD,0,Decatur,,"North Decatur, Vista Grove",GA,DeKalb County,America/New_York,404,NA,US,33.81,-84.28,Atlanta,25790
30034,STANDARD,0,Decatur,,,GA,DeKalb County,America/New_York,"678,770",NA,US,33.69,-84.25,Atlanta,37900
30035,STANDARD,0,Decatur,,Snapfinger,GA,DeKalb County,America/New_York,"678,770",NA,US,33.72,-84.2,Atlanta,18260
30036,PO BOX,0,Decatur,,,GA,Dekalb County,America/New_York,404,NA,US,33.77,-84.29,Atlanta,839
30037,PO BOX,0,Decatur,,,GA,Dekalb County,America/New_York,404,NA,US,33.77,-84.29,Atlanta,1054
30038,STANDARD,0,Lithonia,Stonecrest,,GA,DeKalb County,America/New_York,"678,770",NA,US,33.67,-84.14,Atlanta,34630
30039,STANDARD,0,Snellville,,,GA,Gwinnett County,America/New_York,"678,770",NA,US,33.8,-84.03,Atlanta,44310
30042,PO BOX,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-83.99,Atlanta,737
30043,STANDARD,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,"470,678,770",NA,US,34,-84.01,Atlanta,79510
30044,STANDARD,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,"678,770",NA,US,33.92,-84.07,Atlanta,83580
30045,STANDARD,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,"470,678,770",NA,US,33.94,-83.93,Atlanta,39190
30046,STANDARD,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,470,NA,US,33.94,-83.99,Atlanta,34780
30047,STANDARD,0,Lilburn,,,GA,Gwinnett County,America/New_York,"678,770",NA,US,33.88,-84.13,Atlanta,62210
30048,PO BOX,0,Lilburn,,,GA,Gwinnett County,America/New_York,678,NA,US,33.88,-84.13,Atlanta,1316
30049,PO BOX,0,Lawrenceville,,,GA,Gwinnett County,America/New_York,678,NA,US,33.64,-84.26,Atlanta,725
30058,STANDARD,0,Lithonia,Stonecrest,,GA,DeKalb County,America/New_York,"678,770",NA,US,33.71,-84.1,Atlanta,48920
30060,STANDARD,0,Marietta,,"Atlanta Naval Air Station, Dobbins AFB, Dobbins Air Force Base",GA,Cobb County,America/New_York,"470,678,770",NA,US,33.95,-84.54,Atlanta,31060
30061,PO BOX,0,Marietta,,,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,1272
30062,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"678,770",NA,US,34,-84.47,Atlanta,62910
30063,UNIQUE,0,Marietta,,Lockheed,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,41
30064,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"470,678,770",NA,US,33.94,-84.61,Atlanta,46240
30065,PO BOX,0,Marietta,,Mreta,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,611
30066,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,678,NA,US,34.03,-84.51,Atlanta,54720
30067,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"678,770",NA,US,33.93,-84.46,Atlanta,38460
30068,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"678,770",NA,US,33.97,-84.43,Atlanta,33330
30069,UNIQUE,0,Marietta,Dobbins AFB,Dobbins Air Force Base,GA,Cobb County,America/New_York,678,NA,US,33.95,-84.54,Atlanta,41
30071,STANDARD,0,Norcross,"Berkeley Lake, Peachtree Cor, Peachtree Corners",,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-84.2,Atlanta,22320
30072,PO BOX,0,Pine Lake,,,GA,DeKalb County,America/New_York,678,NA,US,33.79,-84.21,Atlanta,1132
30073,STANDARD,1,Decatur,,,GA,Dekalb County,America/New_York,404,NA,US,33.7,-84.25,Atlanta,206
30074,PO BOX,0,Redan,Lithonia,,GA,Dekalb County,America/New_York,678,NA,US,33.73,-84.15,Atlanta,503
30075,STANDARD,0,Roswell,Mountain Park,Sandy Plains,GA,Fulton County,America/New_York,678,NA,US,34.03,-84.35,Atlanta,53880
30076,STANDARD,0,Roswell,,,GA,Fulton County,America/New_York,678,NA,US,34.03,-84.31,Atlanta,39820
30077,PO BOX,0,Roswell,,,GA,Fulton County,America/New_York,678,NA,US,34.03,-84.35,Atlanta,937
30078,STANDARD,0,Snellville,,,GA,Gwinnett County,America/New_York,"678,770",NA,US,33.85,-84,Atlanta,35210
30079,STANDARD,0,Scottdale,,,GA,DeKalb County,America/New_York,"404,678",NA,US,33.79,-84.26,Atlanta,2820
30080,STANDARD,0,Smyrna,,,GA,Cobb County,America/New_York,678,NA,US,33.86,-84.51,Atlanta,44280
30081,PO BOX,0,Smyrna,,,GA,Cobb County,America/New_York,678,NA,US,33.86,-84.51,Atlanta,1158
30082,STANDARD,0,Smyrna,,,GA,Cobb County,America/New_York,678,NA,US,33.85,-84.54,Atlanta,24780
30083,STANDARD,0,Stone Mountain,Stone Mtn,"Memorial Square, St Mountain, St Mtn",GA,DeKalb County,America/New_York,"678,770,404",NA,US,33.8,-84.17,Atlanta,47380
30084,STANDARD,0,Tucker,,,GA,DeKalb County,America/New_York,678,NA,US,33.85,-84.22,Atlanta,35060
30085,PO BOX,0,Tucker,,,GA,Dekalb County,America/New_York,678,NA,US,33.85,-84.22,Atlanta,828
30086,PO BOX,0,Stone Mountain,Stone Mtn,St Mountain,GA,Dekalb County,America/New_York,404,NA,US,33.8,-84.17,Atlanta,1204
30087,STANDARD,0,Stone Mountain,"Smoke Rise, Stone Mtn",,GA,DeKalb County,America/New_York,"404,678,770",NA,US,33.81,-84.13,Atlanta,34590
30088,STANDARD,0,Stone Mountain,Stone Mtn,,GA,DeKalb County,America/New_York,"404,678,770",NA,US,33.76,-84.18,Atlanta,22840
30090,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"470,678,770",NA,US,33.95,-84.54,Atlanta,0
30091,PO BOX,0,Norcross,,,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-84.2,Atlanta,903
30092,STANDARD,0,Peachtree Corners,"Berkeley Lake, Norcross, Peachtree Cor",Parkway,GA,Gwinnett County,America/New_York,678,NA,US,33.97,-84.23,Atlanta,32090
30093,STANDARD,0,Norcross,,,GA,Gwinnett County,America/New_York,678,NA,US,33.91,-84.18,Atlanta,44520
30094,STANDARD,0,Conyers,,,GA,Rockdale County,America/New_York,"770,470,678",NA,US,33.61,-84.05,Atlanta,28310
30095,PO BOX,0,Duluth,,,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,747
30096,STANDARD,0,Duluth,"Berkeley Lake, Peachtree Cor, Peachtree Corners",,GA,Gwinnett County,America/New_York,"470,678,770",NA,US,34,-84.15,Atlanta,60360
