zip,type,decomissioned,primary_city,accepatable_cities_state,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,metro,irs_estimated_population
20588,UNIQUE,0,Dhs,"Camp Springs, Cheltenham, Columbia",Dept Hs,MD,Howard County,America/New_York,410,NA,US,38.74,-76.85,Baltimore,0
20701,STANDARD,0,Annapolis Junction,Annapolis Jct,,MD,Howard County,America/New_York,"410,443",NA,US,39.12,-76.77,Baltimore,420
20711,STANDARD,0,Lothian,,,MD,Anne Arundel County,America/New_York,"240,301",NA,US,38.8,-76.65,Baltimore,6750
20723,STANDARD,0,Laurel,Scaggsville,,MD,Howard County,America/New_York,############,NA,US,39.14,-76.87,Baltimore,33360
20724,STANDARD,0,Laurel,"Maryland City, Md City, Russett",,MD,Anne Arundel County,America/New_York,############,NA,US,39.1,-76.8,Baltimore,17370
20733,STANDARD,0,Churchton,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.81,-76.53,Baltimore,2670
20751,STANDARD,0,Deale,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.79,-76.54,Baltimore,2170
20755,STANDARD,0,Fort George G Meade,Fort Meade,"Fort George Meade, Ft George G Meade, Ft Meade",MD,Anne Arundel County,America/New_York,410,NA,US,39.11,-76.75,Baltimore,8560
20758,STANDARD,0,Friendship,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.73,-76.59,Baltimore,740
20759,STANDARD,0,Fulton,,,MD,Howard County,America/New_York,410,NA,US,39.15,-76.92,Baltimore,6520
20763,STANDARD,0,Savage,,,MD,Howard County,America/New_York,"410,443",NA,US,39.13,-76.81,Baltimore,2620
20764,STANDARD,0,Shady Side,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.83,-76.52,Baltimore,3920
20765,PO BOX,0,Galesville,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.84,-76.54,Baltimore,553
20776,STANDARD,0,Harwood,,,MD,Anne Arundel County,America/New_York,410,NA,US,38.86,-76.6,Baltimore,3150
