zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
20001,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.91,-77.02,DC,35320
20002,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.91,-76.98,DC,53330
20003,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.88,-76.99,DC,27480
20004,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,1290
20005,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.03,DC,9160
20006,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.04,DC,710
20007,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.91,-77.08,DC,18600
20008,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.94,-77.06,DC,23940
20009,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.92,-77.04,DC,41550
20010,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.93,-77.03,DC,27210
20011,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.95,-77.02,DC,62810
20012,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.98,-77.03,DC,14020
20013,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,868
20015,STANDARD,0,Washington,Chevy Chase,,DC,District of Columbia,America/New_York,202,NA,US,38.97,-77.06,DC,15160
20016,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.94,-77.09,DC,24500
20017,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.94,-76.99,DC,16170
20018,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.93,-76.97,DC,16800
20019,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-76.94,DC,50130
20020,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.86,-76.98,DC,42310
20022,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.91,-76.96,DC,0
20023,PO BOX,1,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.01,DC,0
20024,STANDARD,0,Washington,"Fort Lesley J Mcnair, Fort Mcnair, Ft L J Mcnair",,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,11930
20026,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,308
20027,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-76.98,DC,104
20029,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,511
20030,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,559
20032,STANDARD,0,Washington,Bolling AFB,"Bolling Air Force Base, Wash, Washing, Washingtn",DC,District of Columbia,America/New_York,202,NA,US,38.83,-77.01,DC,31150
20033,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,80
20035,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,126
20036,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.91,-77.04,DC,4150
20037,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.06,DC,6320
20038,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,261
20039,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,166
20040,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,212
20041,PO BOX,0,Washington,,Dulles International Airp,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,75
20042,UNIQUE,0,Washington,,Sun Trust Bank Inc,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20043,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,86
20044,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,335
20045,STANDARD,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.03,DC,32
20046,UNIQUE,1,Washington,,G E I C O,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20047,UNIQUE,0,Washington,,Criterion Ins Co,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20049,UNIQUE,0,Washington,,Amer Assc Retired Persons,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20050,PO BOX,0,Washington,Pentagon,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20051,UNIQUE,1,Washington,,Woodward And Lothrop,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20052,UNIQUE,0,Washington,,G W Univ,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.05,DC,124
20053,UNIQUE,0,Washington,,Verizon,DC,District of Columbia,America/New_York,202,NA,US,38.88,-77.01,DC,0
20055,UNIQUE,0,Washington,,Bank Of America,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20056,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,147
20057,UNIQUE,0,Washington,,Georgetown Univ,DC,District of Columbia,America/New_York,202,NA,US,38.91,-77.08,DC,799
20058,UNIQUE,0,Washington,,Marriott Corp,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20059,UNIQUE,0,Washington,,Howard Univ,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,99
20060,UNIQUE,0,Washington,,Howard University Hospital,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20061,UNIQUE,0,Washington,,Wells Fargo,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20062,UNIQUE,0,Washington,,Us Chamber Of Com,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20063,UNIQUE,0,Washington,,Int Group Plans Inc,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20064,UNIQUE,0,Washington,,Catholic Univ,DC,District of Columbia,America/New_York,202,NA,US,38.94,-77,DC,33
20065,UNIQUE,0,Washington,,Blue Cross Group Hosp,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20066,UNIQUE,0,Washington,,Washington Dc Post Office,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20067,UNIQUE,0,Washington,,Pepco,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20068,UNIQUE,0,Washington,,Pepco,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20069,UNIQUE,0,Washington,,Wash Intell Bureau Inc,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20070,UNIQUE,0,Washington,,Wash Intell Bureau Inc,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20071,UNIQUE,0,Washington,,Washington Post,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,28
20073,UNIQUE,0,Washington,,Pnc Financial,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20074,UNIQUE,0,Washington,,Pnc Financial,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20075,UNIQUE,0,Washington,,Pnc Financial,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20076,UNIQUE,0,Washington,,Geico,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20077,UNIQUE,0,Washington,,Washington Brm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20078,UNIQUE,0,Washington,,Washington Brm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20080,UNIQUE,0,Washington,,Washington Gas,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20081,UNIQUE,0,Washington,,Washington Gas,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20082,UNIQUE,0,Washington,,Natl Repub Cong Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20088,PO BOX,1,Washington,,Friendship Heights,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20090,PO BOX,0,Washington,,General Delivery,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,394
20091,PO BOX,0,Washington,,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,125
20097,UNIQUE,1,Washington,,Natl Repub Cong Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20098,UNIQUE,1,Washington,,Vietnam Vet Mem Fund,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
22301,STANDARD,0,Alexandria,Potomac,,VA,Alexandria city,America/New_York,"571,703",NA,US,38.82,-77.06,DC,13270
22302,STANDARD,0,Alexandria,,,VA,Alexandria city,America/New_York,"571,703",NA,US,38.82,-77.08,DC,16090
22304,STANDARD,0,Alexandria,,"Cameron Station, Theological Seminary, Trade Center",VA,Alexandria city,America/New_York,"571,703",NA,US,38.81,-77.11,DC,42600
22305,STANDARD,0,Alexandria,,George Washington,VA,Alexandria city,America/New_York,"571,703",NA,US,38.84,-77.06,DC,14970
22311,STANDARD,0,Alexandria,,,VA,Alexandria city,America/New_York,"571,703",NA,US,38.83,-77.13,DC,16590
22313,PO BOX,0,Alexandria,,,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,DC,457
22314,STANDARD,0,Alexandria,,,VA,Alexandria city,America/New_York,"571,703",NA,US,38.81,-77.06,DC,30900
22320,PO BOX,0,Alexandria,,,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,DC,184
22321,UNIQUE,1,Alexandria,Firm Zip,,VA,Alexandria City,America/New_York,571,NA,US,38.8,-77.05,DC,0
22331,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,703,NA,US,38.82,-77.08,DC,0
22332,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,DC,0
22333,UNIQUE,0,Alexandria,,Us Army Mat Com,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,DC,0
22334,UNIQUE,0,Alexandria,,Sun Trust Bank,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,DC,0
22336,UNIQUE,1,Alexandria,,Woodward & Lothrop,VA,Alexandria City,America/New_York,571,NA,US,38.8,-77.04,DC,0
22201,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.89,-77.1,DC,31480
22202,STANDARD,0,Arlington,,Crystal City,VA,Arlington County,America/New_York,"571,703",NA,US,38.86,-77.05,DC,20150
22203,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.12,DC,20060
22204,STANDARD,0,Arlington,,South,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,DC,46660
22205,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"703,571",NA,US,38.88,-77.14,DC,17630
22206,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,703,NA,US,38.84,-77.09,DC,18890
22207,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"703,571",NA,US,38.91,-77.12,DC,31550
22209,STANDARD,0,Arlington,Rosslyn,,VA,Arlington County,America/New_York,"571,703",NA,US,38.9,-77.08,DC,10950
22210,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,264
22211,STANDARD,0,Fort Myer,Ft Myer,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.07,DC,620
22212,UNIQUE,0,Arlington,,Navy Mutual Aid Assoc,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22213,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.9,-77.16,DC,3470
22214,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.07,DC,133
22215,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,201
22216,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,181
22217,UNIQUE,0,Arlington,,Office Of Naval Research,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22218,UNIQUE,1,Arlington,Visa Lottery,,VA,Arlington County,America/New_York,571,NA,US,38.88,-77.09,DC,0
22219,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,257
22222,UNIQUE,1,Arlington,,Marine Corps Institute,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22223,UNIQUE,1,Arlington,,"Marine Corps Institute, Business Reply Mail",VA,Arlington County,America/New_York,571,NA,US,38.88,-77.09,DC,0
22225,UNIQUE,0,Arlington,,Dept Of The Navy,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22226,UNIQUE,0,Arlington,,Fdic,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22227,UNIQUE,0,Arlington,,Us Air,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22229,UNIQUE,1,Arlington,Shared Firm Zip,,VA,Arlington County,America/New_York,571,NA,US,38.89,-77.07,DC,0
22230,UNIQUE,0,Arlington,,National Science Foundation,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22234,UNIQUE,1,Arlington,Gannett,,VA,Arlington County,America/New_York,571,NA,US,38.89,-77.07,DC,0
22240,UNIQUE,0,Arlington,,Us Navy Accounting Office,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22241,UNIQUE,0,Arlington,,Naval Supply System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22242,UNIQUE,0,Arlington,,Navy Sea Systems Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22243,UNIQUE,0,Arlington,,Naval Air System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22244,UNIQUE,0,Arlington,,Assistant Secretary Of Navy,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22245,UNIQUE,0,Arlington,,Space & Naval Warfare System,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22246,UNIQUE,0,Arlington,,Us Unmanned Aerial Vehicles,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
23147,PO BOX,0,Ruthville,,,VA,Charles City,America/New_York,804,NA,US,37.36,-77.04,DC,209
20130,STANDARD,0,Paris,,,VA,Clarke County,America/New_York,,NA,US,39,-77.95,DC,260
