zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55001,STANDARD,0,Afton,,,MN,Washington County,America/Chicago,651,NA,US,44.9,-92.81,Minneapolis,2980
55002,PO BOX,1,Almelund,,Center City,MN,Chisago County,America/Chicago,,NA,US,45.52,-92.87,Minneapolis,0
55003,STANDARD,0,Bayport,,"Baytown, Douglas",MN,Washington County,America/Chicago,651,NA,US,45.01,-92.78,Minneapolis,2380
55005,STANDARD,0,Bethel,East Bethel,"Linwood, Oak Grove",MN,Anoka County,America/Chicago,,NA,US,45.4,-93.26,Minneapolis,4750
55006,STANDARD,0,Braham,,"Day, Grass Lake",MN,Isanti County,America/Chicago,320,NA,US,45.72,-93.17,Minneapolis,3450
55008,STANDARD,0,Cambridge,,"Edgewood, Spectacle Lake",MN,Isanti County,America/Chicago,"612,763",NA,US,45.56,-93.22,Minneapolis,14840
55010,PO BOX,0,Castle Rock,,Oak Grove,MN,Dakota County,America/Chicago,,NA,US,44.58,-93.09,Minneapolis,94
55011,STANDARD,0,Cedar,"Cedar E Bethl, Cedar East Bethel, East Bethel, Oak Grove",,MN,Anoka County,America/Chicago,,NA,US,45.34,-93.24,Minneapolis,10300
55012,STANDARD,0,Center City,,Chisago Lake,MN,Chisago County,America/Chicago,651,NA,US,45.39,-92.81,Minneapolis,1860
55013,STANDARD,0,Chisago City,,,MN,Chisago County,America/Chicago,,NA,US,45.37,-92.88,Minneapolis,6720
55014,STANDARD,0,Circle Pines,Lino Lakes,"Blaine, Columbus, Lexington",MN,Anoka County,America/Chicago,,NA,US,45.13,-93.15,Minneapolis,26360
55016,STANDARD,0,Cottage Grove,,,MN,Washington County,America/Chicago,651,NA,US,44.81,-92.92,Minneapolis,37180
55017,STANDARD,0,Dalbo,,,MN,Isanti County,America/Chicago,,NA,US,45.68,-93.45,Minneapolis,690
55020,STANDARD,0,Elko New Market,"Elko, Elko New Mrkt",,MN,Scott County,America/Chicago,952,NA,US,44.56,-93.32,Minneapolis,4140
55024,STANDARD,0,Farmington,,,MN,Dakota County,America/Chicago,"651,952",NA,US,44.65,-93.17,Minneapolis,34300
55025,STANDARD,0,Forest Lake,Columbus,,MN,Washington County,America/Chicago,651,NA,US,45.27,-92.98,Minneapolis,23950
55029,PO BOX,0,Grandy,,,MN,Isanti County,America/Chicago,,NA,US,45.64,-93.2,Minneapolis,105
55031,STANDARD,0,Hampton,New Trier,,MN,Dakota County,America/Chicago,,NA,US,44.6,-93,Minneapolis,1860
55032,STANDARD,0,Harris,,,MN,Chisago County,America/Chicago,,NA,US,45.6,-92.98,Minneapolis,3440
55033,STANDARD,0,Hastings,,,MN,Dakota County,America/Chicago,651,NA,US,44.73,-92.85,Minneapolis,27660
55038,STANDARD,0,Hugo,"Centerville, Lino Lakes",Columbus,MN,Washington County,America/Chicago,,NA,US,45.15,-92.96,Minneapolis,23110
55040,STANDARD,0,Isanti,,,MN,Isanti County,America/Chicago,,NA,US,45.48,-93.25,Minneapolis,12920
55042,STANDARD,0,Lake Elmo,,Oakdale,MN,Washington County,America/Chicago,651,NA,US,44.99,-92.9,Minneapolis,11510
55043,STANDARD,0,Lakeland,"Lake Saint Croix Beach, Lakeland Shores, Lakeland Shrs, Saint Marys Point, St Croix Bch, St Croix Beach, St Marys Point, St Marys Pt",,MN,Washington County,America/Chicago,651,NA,US,44.95,-92.77,Minneapolis,3400
55044,STANDARD,0,Lakeville,,"Antlers Park, Argonne",MN,Dakota County,America/Chicago,952,NA,US,44.67,-93.24,Minneapolis,58900
55045,STANDARD,0,Lindstrom,,,MN,Chisago County,America/Chicago,651,NA,US,45.38,-92.84,Minneapolis,7480
55047,STANDARD,0,Marine On Saint Croix,Marine St Crx,"Marine, Marine On St Croix, New Scandia, St Croix",MN,Washington County,America/Chicago,651,NA,US,45.2,-92.78,Minneapolis,2530
55054,STANDARD,0,Elko New Market,"Elko New Mrkt, New Market",,MN,Scott County,America/Chicago,952,NA,US,44.57,-93.34,Minneapolis,2390
55055,STANDARD,0,Newport,,,MN,Washington County,America/Chicago,651,NA,US,44.87,-92.99,Minneapolis,3470
55056,STANDARD,0,North Branch,,"Branch, Sunrise, Weber",MN,Chisago County,America/Chicago,651,NA,US,45.51,-92.97,Minneapolis,13490
55065,STANDARD,0,Randolph,,,MN,Dakota County,America/Chicago,,NA,US,44.55,-93.02,Minneapolis,1150
55068,STANDARD,0,Rosemount,,,MN,Dakota County,America/Chicago,,NA,US,44.74,-93.07,Minneapolis,30490
55069,STANDARD,0,Rush City,,,MN,Chisago County,America/Chicago,320,NA,US,45.68,-92.96,Minneapolis,4290
55070,STANDARD,0,Saint Francis,,St Francis,MN,Anoka County,America/Chicago,,NA,US,45.39,-93.38,Minneapolis,7630
55071,STANDARD,0,Saint Paul Park,St Paul Park,Grey Cloud Island,MN,Washington County,America/Chicago,651,NA,US,44.83,-92.99,Minneapolis,5410
55073,STANDARD,0,Scandia,,"Copas, New Scandia, Otisville",MN,Washington County,America/Chicago,651,NA,US,45.27,-92.82,Minneapolis,3630
55074,STANDARD,0,Shafer,,Franconia,MN,Chisago County,America/Chicago,,NA,US,45.38,-92.74,Minneapolis,2260
55075,STANDARD,0,South Saint Paul,South St Paul,"S Saint Paul, So Saint Paul",MN,Dakota County,America/Chicago,651,NA,US,44.88,-93.04,Minneapolis,19110
