zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85001,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.06,Phoenix,759
85002,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.06,Phoenix,345
85003,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.45,-112.08,Phoenix,6580
85004,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.44,-112.07,Phoenix,5180
85005,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.12,Phoenix,1050
85006,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.46,-112.05,Phoenix,18390
85007,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.09,Phoenix,10630
85008,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623,480",NA,US,33.46,-111.98,Phoenix,45820
85009,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.44,-112.13,Phoenix,37730
85010,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,Phoenix,448
85011,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.05,Phoenix,705
85012,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.5,-112.07,Phoenix,6460
85013,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.5,-112.08,Phoenix,16460
85014,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.5,-112.05,Phoenix,19860
85015,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.1,Phoenix,31500
85016,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,623",NA,US,33.5,-112.02,Phoenix,30280
85017,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.12,Phoenix,30770
85018,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.5,-111.98,Phoenix,31310
85019,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.5,-112.14,Phoenix,23480
85020,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,623",NA,US,33.57,-112.05,Phoenix,27630
85021,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.55,-112.09,Phoenix,32310
