,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
0,11/1/2015,11/30/2015,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,163500.0,-0.001526718,0.128364389,167450.0,0.047217011,0.116333333,134.6035648,-0.041750812,0.102307649,142.1078431,0.006313913,0.159991408,502.0,-0.12390925,0.068085106,414.0,-0.115384615,0.134246575,486.0,-0.288433382,-0.070745698,1742.0,-0.070437567,-0.103448276,3.5,0.2,-0.6,55.0,7.0,11.0,0.968443452,0.002864347,0.004315082,0.133466135,-0.000914318,0.037721455,0.537313433,-0.221491263,-0.304168811,0.263285024,0.032515793,0.02492886,"Atlanta, GA",12060,1/9/2022 14:29
1,9/1/2018,9/30/2018,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,202390.0,-0.007892157,0.105956284,205000.0,-0.068181818,0.051282051,177.5103085,0.001823803,0.113725665,180.4740406,-0.07697044,0.048038536,539.0,-0.155172414,-0.177099237,498.0,-0.113879004,-0.187601958,648.0,-0.185929648,0.065789474,1408.0,0.016606498,-0.00141844,2.6,0.4,0.4,20.0,3.0,-13.0,0.981294439,-0.001676622,0.003489904,0.200371058,-0.03473866,0.037012279,0.247159091,-0.007714555,0.011698098,0.4437751,-0.02419643,0.155031218,"Atlanta, GA",12060,1/9/2022 14:29
2,6/1/2012,6/30/2012,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,90000.0,0.059446733,0.034482759,100000.0,0.052631579,0.001001001,65.93406593,0.002404042,-0.133818954,77.27448454,-0.009557995,-0.034068943,931.0,0.087616822,0.562080537,606.0,0.01,0.973941368,988.0,-0.01984127,0.107623318,3561.0,-0.039644013,-0.196887686,3.8,-0.5,-3.6,55.0,-8.0,-42.0,0.975274974,0.012705367,0.026557752,0.251342642,0.032884698,0.083557407,0.214827296,0.029552215,0.00012274,0.226072607,-0.010594059,0.112066093,"Atlanta, GA",12060,1/9/2022 14:29
3,2/1/2012,2/29/2012,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Single Family Residential,6,90000.0,-0.001536524,-0.172413793,134900.0,0.124166667,0.037692308,45.65217391,0.028695652,-0.107005745,60.86073894,0.077821165,-0.028330639,4746.0,0.135678392,0.298495212,3653.0,0.254033642,0.430305403,7071.0,0.034074291,-0.042777853,27196.0,-0.0282284,-0.272094642,5.7,-1.0,-4.5,87.0,7.0,-13.0,0.952743994,-0.00150699,0.007418343,0.209018121,-0.006105115,0.043765043,0.217053979,-0.02503135,-0.031166138,0.252121544,0.066745643,0.093546759,"Atlanta, GA",12060,1/9/2022 14:29
4,7/1/2014,7/31/2014,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Townhouse,13,160000.0,0.074149911,0.138790036,155940.0,0.060816327,0.075448276,92.71523179,0.029026053,0.160880949,91.23287671,0.030497065,0.088016035,923.0,0.097502973,0.311079545,703.0,-0.019525802,0.14869281,1113.0,-0.036363636,0.198062433,2752.0,0.045195594,0.326904532,3.0,-0.1,0.1,31.0,2.0,-3.0,0.976897087,0.001572062,-0.023026456,0.193932828,0.000115943,-0.1270899,0.357921512,0.027120144,0.09514427,0.311522048,-0.017627185,-0.031615207,"Atlanta, GA",12060,1/9/2022 14:29
5,12/1/2018,12/31/2018,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Townhouse,13,224694.0,0.054901408,0.045574686,229950.0,0.045702592,0.121707317,123.5737869,0.032024815,0.027909228,128.5126799,0.031646617,0.111969425,818.0,0.039390089,-0.0215311,490.0,-0.125,0.027253669,522.0,-0.328185328,-0.152597403,2221.0,-0.094208809,0.172031662,2.7,-0.4,0.4,42.0,9.0,4.0,0.984870854,0.002058684,0.001033177,0.194376528,-0.016551045,-0.013757443,0.116614138,-0.086893203,0.011073241,0.324489796,-0.055867347,-0.073833055,"Atlanta, GA",12060,1/9/2022 14:29
6,7/1/2018,7/31/2018,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Townhouse,13,220250.0,0.01849711,0.104286789,225000.0,0.02319236,0.080722787,122.359861,0.023351624,0.082446279,125.8093525,0.050361804,0.063517312,940.0,-0.08203125,0.023965142,813.0,0.044987147,0.008684864,1051.0,-0.144136808,-0.014995314,2352.0,0.012483857,-0.100917431,2.5,0.2,-0.3,19.0,0.0,-13.0,0.989415482,-0.000420468,0.003122333,0.254255319,-0.037736868,0.049462291,0.182823129,0.003313874,0.016920989,0.42804428,-0.087379884,0.064520707,"Atlanta, GA",12060,1/9/2022 14:29
7,10/1/2016,10/31/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,200000.0,-0.023914104,0.075268817,219900.0,0.008715596,0.100050025,96.15384615,0.000459395,0.073260073,100.0,-0.00095757,0.066429023,8099.0,-0.09730272,0.062024653,5892.0,-0.072856019,0.080506143,9149.0,-0.079762623,0.017346825,31134.0,-0.028671263,-0.061748486,3.8,0.2,-0.6,53.0,1.0,-7.0,0.974728075,-0.000738232,0.006441658,0.178787505,0.005693434,0.026414045,0.247189568,0.00983269,-0.326326992,0.309063136,0.010558022,0.055074506,"Atlanta, GA",12060,1/9/2022 14:29
8,6/1/2016,6/30/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,175000.0,0.023990638,0.132686084,167500.0,-0.06424581,0.015767132,148.0384307,-0.003798624,0.11359688,152.4917768,-0.040811514,0.07828657,725.0,0.0,-0.010914052,661.0,0.12414966,0.059294872,856.0,0.091836735,0.071339174,1738.0,0.006952491,-0.135753357,2.4,0.0,-0.3,38.0,0.0,-4.0,0.980014629,0.003722865,0.012340605,0.190344828,0.020689655,0.04982641,0.565017261,0.009976705,0.068249484,0.317700454,-0.010530839,0.064495326,"Atlanta, GA",12060,1/9/2022 14:29
9,4/1/2020,4/30/2020,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Multi-Family (2-4 Unit),4,235000.0,-0.016736402,0.068181818,240000.0,-0.094339623,0.066666667,117.3730997,0.074679802,0.342748261,136.8624734,0.087400474,0.379573732,33.0,0.064516129,-0.195121951,28.0,-0.176470588,-0.2,47.0,-0.338028169,-0.253968254,194.0,0.026455026,-0.034825871,5.9,-0.2,1.0,45.0,30.0,9.0,0.947147288,-0.026421921,0.011884654,0.121212121,-0.233626588,0.023651146,0.113402062,0.002290951,-0.060727291,0.321428571,-0.149159664,-0.078571429,"Atlanta, GA",12060,1/9/2022 14:29
10,10/1/2018,10/31/2018,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Multi-Family (2-4 Unit),4,177500.0,-0.1125,0.34469697,175000.0,-0.142156863,0.321752266,82.93829042,-0.14975398,0.253629459,91.83783784,0.025778236,0.267944323,52.0,-0.147540984,0.3,54.0,0.102040816,0.102040816,90.0,0.363636364,0.40625,177.0,0.011428571,0.149350649,3.4,0.5,-0.5,32.0,2.0,-9.0,0.943858266,-0.00817722,0.021092949,0.173076923,-0.023644388,-0.051923077,0.192090395,0.037804681,0.049233253,0.444444444,0.077097506,0.036281179,"Atlanta, GA",12060,1/9/2022 14:29
11,3/1/2015,3/31/2015,30,metro,-2,12060,t,"Atlanta, GA metro area",,,GA,All Residential,-1,,,,,,,,,,,,,,,,5836.642299,0.006845406,0.041216277,,,,32199.7217,-0.02444119,0.102547833,4.204944176,-0.390370097,-0.375577791,,,,,,,,,,,,,,,,"Atlanta, GA",12060,1/9/2022 0:00
12,12/1/2015,12/31/2015,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,154750.0,-0.05351682,-0.015898251,176500.0,0.054045984,0.26161544,135.3790614,0.005761337,0.097582577,145.1121499,0.021141034,0.161255375,598.0,0.19123506,0.043630017,369.0,-0.108695652,0.69266055,426.0,-0.12345679,-0.105042017,1551.0,-0.109644087,-0.228741919,2.6,-0.9,-0.9,57.0,2.0,9.0,0.970005055,0.001561604,0.004293583,0.113712375,-0.019753761,-0.013687276,0.548033527,0.010720094,0.060713785,0.192411924,-0.0708731,-0.01859725,"Atlanta, GA",12060,1/9/2022 14:29
13,1/1/2020,1/31/2020,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,242900.0,-0.035728464,0.051515152,263222.5,0.057118474,0.057118474,115.3136531,-0.017652339,0.066870028,123.3070866,0.034640927,0.063448435,6431.0,-0.286554249,0.175041111,5870.0,0.202622413,0.032905156,9540.0,0.537222043,0.02327577,23745.0,-0.019773778,-0.016444371,3.7,1.0,-0.7,53.0,8.0,4.0,0.97547858,-0.002539879,0.000731835,0.166381589,-0.006682533,-0.006284225,0.222783744,0.049401974,0.007474325,0.377001704,0.095092259,-0.008006215,"Atlanta, GA",12060,1/9/2022 14:29
14,12/1/2014,12/31/2014,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Multi-Family (2-4 Unit),4,82000.0,-0.078651685,0.365528726,123777.0,0.377772336,0.167707547,42.74977896,0.074374933,0.477717359,53.96144664,0.22364374,0.035287058,61.0,0.150943396,0.452380952,30.0,-0.0625,0.304347826,40.0,-0.272727273,-0.393939394,250.0,-0.137931034,-0.038461538,4.1,-1.4,-2.1,45.0,7.0,-15.0,0.924553048,0.013348723,0.031823294,0.147540984,-0.041138262,0.052302888,0.388,-0.036137931,0.180307692,0.2,-0.175,0.113043478,"Atlanta, GA",12060,1/9/2022 14:29
15,6/1/2013,6/30/2013,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Townhouse,13,143000.0,0.091603053,0.355450237,139900.0,0.003226963,0.399,78.5840403,0.035786117,0.353001705,82.40855076,0.01611687,0.256272574,697.0,-0.138442522,0.476694915,609.0,-0.024038462,0.775510204,848.0,0.021686747,0.495590829,1983.0,0.016401845,0.139655172,2.8,0.4,-0.9,30.0,-1.0,-22.0,1.001540116,0.008500806,0.026688709,0.352941176,0.027848469,0.085992024,0.259707514,-0.017586182,0.034420158,0.346469622,0.02114911,0.084078952,"Atlanta, GA",12060,1/9/2022 14:29
16,3/1/2016,3/31/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Single Family Residential,6,204900.0,0.050769231,0.0671875,239900.0,0.068596882,0.066696309,88.62918231,0.019949203,0.056001961,97.85346925,0.043888935,0.062181484,7273.0,0.373819418,0.141220775,5890.0,0.373280485,0.155355041,10921.0,0.346941293,0.160820578,25849.0,0.058604308,-0.016362875,3.6,-1.0,-0.5,65.0,-13.0,-9.0,0.973482294,0.003634843,0.004874079,0.182043173,0.022806301,0.018854722,0.402762196,,-0.023547786,0.41901528,0.030113438,0.064366398,"Atlanta, GA",12060,1/9/2022 14:29
17,10/1/2020,10/31/2020,30,metro,-2,12060,t,"Atlanta, GA metro area",,,GA,Townhouse,13,,,,,,,,,,,,,,,,986.269391,0.023803496,0.377536254,,,,,,,,,,,,,,,,0.272097054,-0.002138754,0.055637076,,,,0.457063067,0.019225485,0.068879528,"Atlanta, GA",12060,1/9/2022 0:00
18,4/1/2019,4/30/2019,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,246779.5,0.007263265,0.032550209,275000.0,0.0,0.038127595,114.5475372,0.010650189,0.042103205,121.4544588,0.002705415,0.06466749,9617.0,0.066777593,0.008176958,9171.0,0.097403374,0.01482793,12984.0,0.052955965,0.046337336,25782.0,0.042160152,0.093940937,2.7,0.0,0.2,28.0,-7.0,4.0,0.981302457,0.002053812,-0.004406574,0.216803577,0.023459151,-0.044859071,0.253199907,0.021056328,0.050000654,0.51368444,0.019966599,-0.004186535,"Atlanta, GA",12060,1/9/2022 14:29
19,10/1/2016,10/31/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Multi-Family (2-4 Unit),4,124000.0,-0.059893859,0.347826087,142500.0,0.1875,0.018584703,64.70588235,-0.089266347,0.295113122,71.08883645,0.013882453,0.0279597,53.0,0.292682927,0.292682927,35.0,-0.078947368,-0.125,47.0,-0.241935484,-0.160714286,221.0,-0.071428571,-0.133333333,4.2,-1.6,-2.0,64.0,8.0,3.0,0.934388317,0.006246284,0.050085251,0.132075472,0.05890474,0.05890474,0.180995475,0.046541694,-0.352337858,0.171428571,-0.118045113,0.021428571,"Atlanta, GA",12060,1/9/2022 14:29
20,10/1/2021,10/31/2021,30,metro,-2,12060,t,"Atlanta, GA metro area",,,GA,Single Family Residential,6,360506.7527,0.042430117,0.21340872,,,,,,,161.4841747,0.012508524,0.218147524,8012.591817,-0.001190252,-0.104232053,7283.412071,-0.006361048,-0.032997175,8273.889258,0.005720628,-0.063715502,,,,,,,15.00010701,1.0,-6.0,1.006503015,-0.001273608,0.012780084,,,,0.221251823,-0.023393469,0.014697965,,,,"Atlanta, GA",12060,1/9/2022 0:00
21,1/1/2017,1/31/2017,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Townhouse,13,198000.0,0.012787724,0.24500896,219900.0,0.157977883,0.22849162,113.0291821,0.017868513,0.218749442,116.8211409,0.089210062,0.140655314,541.0,-0.388700565,-0.083050847,494.0,-0.01002004,-0.017892644,785.0,0.414414414,-0.097701149,2073.0,-0.009555662,-0.074966533,3.8,1.4,0.0,54.0,6.0,-5.0,0.980268621,0.0002633,0.004624917,0.188539741,0.007748781,-0.002985683,0.113362277,0.020672358,-0.195428442,0.352226721,0.117757783,0.012266482,"Atlanta, GA",12060,1/9/2022 14:29
22,10/1/2015,10/31/2015,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Condo/Co-op,3,163750.0,-0.007575758,0.112432065,159900.0,-0.090184922,0.03227889,140.4682274,0.055462653,0.149297007,141.2162162,-0.044714833,0.056511057,573.0,-0.134441088,-0.121165644,468.0,-0.084148728,-0.044897959,683.0,0.044342508,-0.008708273,1874.0,-0.002129925,-0.053535354,3.3,0.5,0.3,48.0,1.0,5.0,0.965579104,-0.005397446,0.00016859,0.134380454,0.00900281,0.039288429,0.758804696,0.197569339,,0.230769231,-0.03733253,-0.030455259,"Atlanta, GA",12060,1/9/2022 14:29
23,4/1/2014,4/30/2014,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Multi-Family (2-4 Unit),4,78250.0,0.176691729,0.150735294,84900.0,-0.179710145,0.005328597,30.6640625,-0.283086359,-0.059369603,48.7904931,-0.237731787,0.059440831,34.0,0.0625,-0.209302326,34.0,-0.055555556,-0.209302326,81.0,0.065789474,0.246153846,291.0,0.054347826,0.178137652,8.6,0.0,2.9,39.0,5.0,8.0,0.970627595,0.088299757,0.010375595,0.264705882,0.108455882,-0.037619699,0.250859107,0.000859107,-0.10946478,0.294117647,-0.011437908,0.038303694,"Atlanta, GA",12060,1/9/2022 14:29
24,9/1/2021,9/30/2021,30,metro,-2,12060,t,"Atlanta, GA metro area",,,GA,All Residential,-1,,,,,,,,,,,,,,,,8950.350357,-0.013255657,0.004187451,,,,11346.14356,-0.018288632,-0.315226463,1.241452377,-0.017642048,-0.388283942,,,,,,,,,,,,,,,,"Atlanta, GA",12060,1/9/2022 0:00
